   Wavenu Wavelen  kap100   kap198   kap296 del/al
    1/cm    nm     1/km-am  1/km-am  1/km-am K^1/2

    3130  3194.02  3.36E+2  2.07E+3  6.32E+3   294
    3135  3188.92  3.33E+2  1.94E+3  6.25E+3   241
    3140  3183.84  2.17E+2  1.17E+3  4.01E+3   258
    3145  3178.78  1.35E+2  1.05E+3  4.03E+3   222
    3150  3173.74  1.52E+2  7.96E+2  2.84E+3   280
    3155  3168.71  1.34E+2  6.61E+2  2.55E+3   331
    3160  3163.69  7.66E+1  3.74E+2  1.95E+3   489
    3165  3158.70  6.19E+1  2.83E+2  1.41E+3   567
    3170  3153.71  4.21E+1  2.83E+2  1.40E+3   435
    3175  3148.75  3.09E+1  1.81E+2  7.94E+2   487
    3180  3143.80  3.44E+1  1.64E+2  7.16E+2   481
    3185  3138.86  2.30E+1  7.97E+1  4.19E+2   838
    3190  3133.94  1.17E+1  5.35E+1  3.26E+2   651
    3195  3129.04  1.60E+1  9.06E+1  4.66E+2   460
    3200  3124.15  1.15E+1  4.37E+1  2.33E+2   707
    3205  3119.27  5.52E+0  2.99E+1  1.79E+2   583
    3210  3114.42  6.50E+0  3.21E+1  1.33E+2   778
    3215  3109.57  4.09E+0  1.79E+1  8.18E+1   945
    3220  3104.74  3.27E+0  1.88E+1  1.05E+2   659
    3225  3099.93  3.34E+0  1.47E+1  5.88E+1  1111
    3230  3095.13  3.01E+0  1.17E+1  4.33E+1   962
    3235  3090.35  2.15E+0  1.22E+1  5.02E+1   666
    3240  3085.58  2.09E+0  6.79E+0  2.44E+1  1008
    3245  3080.82  1.30E+0  5.81E+0  2.32E+1   772
    3250  3076.08  8.33E-1  6.27E+0  2.58E+1   652
    3255  3071.36  8.39E-1  4.01E+0  1.48E+1   766
    3260  3066.65  5.14E-1  2.90E+0  1.27E+1   572
    3265  3061.95  3.40E-1  2.97E+0  1.47E+1   446
    3270  3057.27  3.46E-1  2.59E+0  1.27E+1   481
    3275  3052.60  3.92E-1  2.05E+0  9.85E+0   491
    3280  3047.95  4.45E-1  1.87E+0  8.50E+0   454
    3285  3043.31  4.32E-1  1.77E+0  8.17E+0   447
    3290  3038.68  5.60E-1  1.69E+0  7.10E+0   541
    3295  3034.07  8.16E-1  1.58E+0  5.83E+0   567
    3300  3029.48  7.15E-1  1.49E+0  5.78E+0   516
    3305  3024.89  8.97E-1  1.47E+0  5.07E+0   602
    3310  3020.32  9.67E-1  1.43E+0  4.66E+0   610
    3315  3015.77  1.11E+0  1.42E+0  4.18E+0   681
    3320  3011.23  1.45E+0  1.42E+0  3.63E+0   713
    3325  3006.70  1.33E+0  1.36E+0  3.68E+0   651
    3330  3002.18  1.54E+0  1.34E+0  3.19E+0   684
    3335  2997.68  2.12E+0  1.56E+0  2.92E+0   562
    3340  2993.20  2.19E+0  1.60E+0  3.00E+0   509
    3345  2988.72  1.75E+0  1.36E+0  2.83E+0   580
    3350  2984.26  1.60E+0  1.20E+0  2.43E+0   707
    3355  2979.81  1.69E+0  1.16E+0  2.14E+0   769
    3360  2975.38  1.72E+0  1.13E+0  1.96E+0   789
    3365  2970.96  1.67E+0  1.13E+0  1.98E+0   743
    3370  2966.55  1.81E+0  1.22E+0  1.98E+0   688
    3375  2962.16  1.69E+0  1.20E+0  1.79E+0   674
    3380  2957.77  1.42E+0  1.13E+0  1.77E+0   588
    3385  2953.40  1.19E+0  1.02E+0  1.65E+0   638
    3390  2949.05  9.90E-1  9.55E-1  1.57E+0   659
    3395  2944.70  8.75E-1  9.07E-1  1.51E+0   669
    3400  2940.37  7.70E-1  8.48E-1  1.49E+0   665
    3405  2936.06  6.87E-1  7.80E-1  1.42E+0   728
    3410  2931.75  6.68E-1  7.81E-1  1.38E+0   708
    3415  2927.46  6.39E-1  7.50E-1  1.28E+0   784
    3420  2923.18  7.02E-1  7.95E-1  1.25E+0   859
    3425  2918.91  7.27E-1  7.96E-1  1.21E+0   890
    3430  2914.66  8.18E-1  8.59E-1  1.20E+0   951
    3435  2910.41  9.22E-1  9.67E-1  1.27E+0   963
    3440  2906.18  9.45E-1  9.33E-1  1.16E+0  1020
    3445  2901.97  1.11E+0  1.07E+0  1.19E+0   996
    3450  2897.76  1.06E+0  9.77E-1  1.08E+0  1200
    3455  2893.57  1.27E+0  1.12E+0  1.14E+0  1197
    3460  2889.39  1.05E+0  9.24E-1  1.00E+0  1455
    3465  2885.22  1.05E+0  8.84E-1  9.52E-1  1303
    3470  2881.06  9.86E-1  8.40E-1  9.36E-1  1450
    3475  2876.91  6.65E-1  6.27E-1  8.48E-1  1755
    3480  2872.78  8.79E-1  8.02E-1  9.64E-1  1338
    3485  2868.66  5.26E-1  5.94E-1  8.48E-1  1035
    3490  2864.55  6.39E-1  8.73E-1  1.34E+0   475
    3495  2860.45  2.99E+0  3.18E+0  3.70E+0   467
    3500  2856.36  3.03E+0  3.12E+0  3.40E+0  1277
    3505  2852.29  3.27E-1  3.59E-1  6.39E-1  1703
    3510  2848.23  4.74E-1  4.69E-1  6.32E-1  2196
    3515  2844.17  3.93E-1  4.20E-1  6.36E-1  2581
    3520  2840.13  4.91E-1  5.43E-1  9.50E-1  1951
    3525  2836.11  1.32E+0  1.07E+0  1.28E+0  1371
    3530  2832.09  1.36E+0  1.15E+0  1.28E+0  1547
    3535  2828.08  9.64E-1  9.10E-1  1.06E+0  1776
    3540  2824.09  1.34E+0  1.20E+0  1.19E+0  1225
    3545  2820.11  1.43E+0  1.46E+0  1.78E+0   770
    3550  2816.13  1.05E+0  1.29E+0  1.83E+0   653
    3555  2812.17  8.18E-1  1.18E+0  1.78E+0   611
    3560  2808.22  5.99E-1  9.55E-1  1.59E+0   583
    3565  2804.28  4.29E-1  6.96E-1  1.29E+0   481
    3570  2800.36  2.91E-1  5.47E-1  1.18E+0   474
    3575  2796.44  1.73E-1  5.29E-1  1.50E+0   440
    3580  2792.53  1.28E-1  4.99E-1  1.71E+0   442
    3585  2788.64  1.10E-1  3.34E-1  1.27E+0   547
    3590  2784.76  9.04E-2  2.61E-1  1.11E+0   471
    3595  2780.88  1.00E-1  2.19E-1  8.02E-1   673
    3600  2777.02  1.31E-1  3.12E-1  1.02E+0   978
    3605  2773.17  1.39E-1  4.49E-1  1.62E+0   703
    3610  2769.33  1.55E-1  6.41E-1  2.41E+0   996
    3615  2765.50  2.52E-1  6.67E-1  1.96E+0  1018
    3620  2761.68  2.26E-1  3.19E-1  7.53E-1   746
    3625  2757.87  1.18E-1  2.68E-1  1.03E+0   922
    3630  2754.07  1.94E-1  8.68E-1  3.14E+0   977
    3635  2750.28  2.52E-1  1.20E+0  3.86E+0   819
    3640  2746.50  1.78E-1  5.69E-1  1.94E+0  1181
    3645  2742.74  1.13E-1  2.19E-1  8.19E-1   525
    3650  2738.98  1.94E-1  5.85E-1  2.07E+0  1535
    3655  2735.23  3.54E-1  1.79E+0  5.47E+0   875
    3660  2731.50  4.88E-1  2.35E+0  6.55E+0   636
    3665  2727.77  3.30E-1  1.16E+0  3.38E+0   891
    3670  2724.05  2.37E-1  5.06E-1  1.53E+0   360
    3675  2720.35  3.32E-1  1.31E+0  4.15E+0   948
    3680  2716.65  2.37E-1  1.13E+0  4.07E+0  1132
    3685  2712.96  5.60E-1  1.77E+0  4.43E+0  1122
    3690  2709.29  5.54E-1  2.00E+0  5.06E+0   806
    3695  2705.62  2.63E-1  1.45E+0  5.25E+0   995
    3700  2701.97  3.18E-1  1.81E+0  6.26E+0  1027
    3705  2698.32  2.62E-1  1.04E+0  3.56E+0   592
    3710  2694.68  5.17E-1  1.90E+0  5.57E+0   670
    3715  2691.06  1.14E+0  4.18E+0  1.03E+1   863
    3720  2687.44  1.20E+0  5.26E+0  1.32E+1   658
    3725  2683.83  4.67E-1  3.20E+0  1.16E+1   435
    3730  2680.23  3.47E-1  2.21E+0  8.78E+0   500
    3735  2676.65  4.78E-1  2.33E+0  8.26E+0   502
    3740  2673.07  1.37E+0  5.70E+0  1.57E+1   569
    3745  2669.50  1.40E+0  5.52E+0  1.53E+1   770
    3750  2665.94  6.64E-1  3.97E+0  1.47E+1   770
    3755  2662.39  1.10E+0  6.22E+0  2.15E+1   423
    3760  2658.85  7.76E-1  5.51E+0  2.22E+1   488
    3765  2655.32  1.91E+0  1.13E+1  3.78E+1   512
    3770  2651.80  1.91E+0  1.20E+1  4.19E+1   430
    3775  2648.28  1.24E+0  1.07E+1  4.23E+1   464
