	pressure	temperature	e-	H2	H	H+	H-	H2-	H2+	H3+	He	H2O	CH4	CO	NH3	N2	PH3	H2S	TiO	VO	Fe	FeH	CrH	Na	K	Rb	Cs	CO2	HCN	C2H2	C2H4	C2H6	SiO	MgH	OCS	Li	LiOH	LiH	LiCl	LiF
13	0.0083949853861483	134.93366338534366	4.5038000000000085e-38	0.8374278071635822	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	0.16258000000000003	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	6.409622496542961e-09	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	5.427106535341552e-10	2.4618355514712666e-08	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38
14	0.0099776676899547	140.26565494175225	4.5038000000000085e-38	0.8374278069154857	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	0.16258000000000006	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	2.5768937798560247e-08	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	5.427106535341552e-10	2.4618355514712666e-08	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38
15	0.0118587285089775	146.11087359801596	4.5038000000000085e-38	0.8374278056943635	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	0.16258000000000006	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	1.0562953713297153e-07	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	5.427106535341552e-10	2.4618355514712666e-08	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38
16	0.0140944202813267	152.20549630214902	4.5038000000000085e-38	0.8374278002178139	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	0.16258000000000003	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	4.069787052768167e-07	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	5.427106535341552e-10	2.4618355514712666e-08	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38	4.5038000000000085e-38
17	0.0167516005545017	158.00566562144905	4.503799999999944e-38	0.8374277810819517	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	0.16257999999999997	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	1.3064863726647667e-06	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	5.427106535341552e-10	2.4618355514712666e-08	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38	4.503799999999944e-38
18	0.0199097313359786	163.6133503207949	4.5037859889109646e-38	0.8374225719610158	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	0.16257859886741416	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	3.6516009918424837e-06	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	5.427106535341552e-10	2.4618355514712666e-08	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38	4.5037859889109646e-38
19	0.023663255375578	169.1780920592619	4.50378008103985e-38	0.8374163542758994	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	0.16257800807263215	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	9.365247905165359e-06	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	5.427106535341552e-10	2.4618355514712666e-08	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38	4.50378008103985e-38
20	0.0281244204414724	174.80644268223602	4.503747539247089e-38	0.8374116203526345	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	0.16257475387570225	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	1.527082258818166e-05	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	5.427106535341552e-10	2.4618355514712666e-08	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38	4.503747539247089e-38
21	0.033426636048777	181.10289852162327	4.503699999999997e-38	0.837405665455978	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	0.1625707943575641	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	2.4501633616874942e-05	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	5.427106535341552e-10	2.4618355514712666e-08	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38	4.503699999999997e-38
22	0.0397284630224687	187.68015267335576	4.503700000000061e-38	0.8373970812208947	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	0.16257051902747832	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	2.4814772767551087e-05	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	5.427106535341552e-10	2.4618355514712666e-08	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38	4.503700000000061e-38
23	0.0472183552010586	194.22467357151663	4.503629382583381e-38	0.837373943571877	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	0.16256728857625008	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	2.5415564965619484e-05	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	5.427106535341552e-10	2.4618355514712666e-08	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38	4.503629382583381e-38
24	0.0561202950799377	200.77140474973413	4.503512650658158e-38	0.8373338502019337	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	0.16256400780043417	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	2.54147644400573e-05	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	5.427106535341552e-10	2.4618355514712666e-08	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38	4.503512650658158e-38
25	0.0667004919262556	207.33045352050448	4.503268014307683e-38	0.8372491485675725	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	0.16255671396652896	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	2.541325850142838e-05	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	5.427106535341552e-10	2.4618355514712666e-08	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38	4.503268014307683e-38
26	0.0792753426700163	213.87552715332495	4.502767679352417e-38	0.8370830464775058	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	0.1625387965785093	0.0007968099530601953	0.00043551384919412697	2.7294409363845397e-05	4.6213734219040024e-05	4.230012214078494e-05	4.32154500995388e-07	2.5410787443049655e-05	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	5.427106535341552e-10	2.4618355514712666e-08	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38	4.502767679352417e-38
