# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               NH3             
  49               3.31238328E+00   6.46646552E+02   8.38135662E-01   1.60472707E-01   7.65071975E-04   5.15952332E-04   5.57624432E-16   4.81061462E-06   4.70443280E-05   2.73165394E-05  
  50               3.92385432E+00   6.74731987E+02   8.38136823E-01   1.60471550E-01   7.65069471E-04   5.15950644E-04   2.81825288E-15   4.81059888E-06   4.70441741E-05   2.73164500E-05  
  51               4.63908127E+00   7.05494193E+02   8.38138388E-01   1.60469989E-01   7.65066017E-04   5.15948314E-04   1.43738804E-14   4.81057716E-06   4.70439617E-05   2.73163267E-05  
  52               5.47372764E+00   7.35997405E+02   8.38140031E-01   1.60468342E-01   7.65062433E-04   5.15945897E-04   6.28791370E-14   4.81055462E-06   4.70437413E-05   2.73161987E-05  
  53               6.44395919E+00   7.69052625E+02   8.38141908E-01   1.60466440E-01   7.65058373E-04   5.15943160E-04   2.73229375E-13   4.81052910E-06   4.70434917E-05   2.73160538E-05  
  54               7.56879165E+00   8.01949905E+02   8.38143504E-01   1.60464633E-01   7.65054895E-04   5.15940814E-04   1.04054725E-12   4.81050723E-06   4.70432778E-05   2.73159296E-05  
  55               8.87529970E+00   8.37737050E+02   8.38145140E-01   1.60462731E-01   7.65055644E-04   5.15941319E-04   3.96366497E-12   4.81051195E-06   4.70433238E-05   2.73159563E-05  
  56               1.03919878E+01   8.73858440E+02   8.38146760E-01   1.60461096E-01   7.65057181E-04   5.15942356E-04   1.36280562E-11   4.81052172E-06   4.70434184E-05   2.73160112E-05  
  57               1.21450181E+01   9.13141486E+02   8.38148345E-01   1.60459473E-01   7.65053742E-04   5.15940037E-04   4.68215965E-11   4.81050082E-06   4.70432069E-05   2.73158884E-05  
  58               1.41572401E+01   9.52699877E+02   8.38149577E-01   1.60458096E-01   7.65051171E-04   5.15938303E-04   1.45902889E-10   4.81048988E-06   4.70430488E-05   2.73157966E-05  
  59               1.64590078E+01   9.95044892E+02   8.38150451E-01   1.60456755E-01   7.65050017E-04   5.15937524E-04   4.46167495E-10   4.81051597E-06   4.70429778E-05   2.73157554E-05  
  60               1.90943955E+01   1.03716862E+03   8.38150224E-01   1.60455527E-01   7.65052797E-04   5.15939400E-04   1.23373031E-09   4.81073535E-06   4.70431488E-05   2.73158547E-05  
